Player,OWGR
Dustin Johnson,1
Justin Thomas,2
Justin Rose,3
Jordan Spieth,4
Jon Rahm,5
Rory McIlroy,6
Rickie Fowler,7
Jason Day,8
Brooks Koepka,9
Hideki Matsuyama,10
Paul Casey,11
Tommy Fleetwood,12
Patrick Reed,13
Marc Leishman,14
Sergio Garcia,15
Alexander Noren,16
Henrik Stenson,17
Francesco Molinari,18
Bubba Watson,19
Phil Mickelson,20
Webb Simpson,21
Bryson DeChambeau,22
Tyrrell Hatton,23
Rafael Cabrera Bello,24
Matt Kuchar,25
Xander Schauffele,26
Ian Poulter,27
Brian Harman,28
Patrick Cantlay,29
Kevin Kisner,30
Kiradech Aphibarnrat,31
Pat Perez,32
Louis Oosthuizen,33
Branden Grace,34
Satoshi Kodaira,35
Charley Hoffman,36
Tony Finau,37
Kyle Stanley,38
Matthew Fitzpatrick,39
Gary Woodland,40
Ross Fisher,41
Cameron Smith,42
Daniel Berger,43
Charl Schwartzel,44
Haotong Li,45
Si Woo Kim,46
Adam Hadwin,47
Brendan Steele,48
Peter Uihlein,49
Chez Reavie,50
Alexander Levy,51
Emiliano Grillo,52
Jason Dufner,53
Luke List,54
Jimmy Walker,55
Kevin Chappell,56
Byeong Hun An,57
Russell Henley,58
Charles Howell III,59
Zach Johnson,60
Dylan Frittelli,61
Chesson Hadley,62
Kevin Na,63
Ryan Moore,64
Patton Kizzire,65
Thomas Pieters,66
Adam Scott,67
Yusaku Miyazato,68
Keegan Bradley,69
Jhonattan Vegas,70
Aaron Wise,71
Paul Dunne,72
Thorbjorn Olesen,73
Andrew Landry,74
Bernd Wiesberger,75
Shubhankar Sharma,76
Yuta Ikeda,77
Alexander Bjork,78
Adrian Otaegui,79
Tiger Woods,80
Julian Suri,81
James Hahn,82
Joost Luiten,83
Ted Potter Jr.,84
Shane Lowry,85
Jorge Campillo,86
Billy Horschel,87
Bill Haas,88
Brandt Snedeker,89
Matt Wallace,90
Beau Hossler,91
Seungsu Han,92
J.B. Holmes,93
Jamie Lovemark,94
Sean O'Hair,95
Shugo Imahira,96
Nick Watney,97
Ollie Schniederjans,98
Lee Westwood,99
Ryuko Tokimatsu,100
Chris Paisley,101
Austin Cook,102
Eddie Pepperell,103
Mike Lorenzo-Vera,104
Sung-jae Im,105
George Coetzee,106
Lucas Glover,107
Martin Laird,108
Anirban Lahiri,109
Mikko Korhonen,110
Cameron Davis,111
Andy Sullivan,112
Hideto Tanihara,113
Dean Burmester,114
Wesley Bryan,115
Chris Kirk,116
Jordan L Smith,117
Martin Kaymer,118
Lucas Bjerregaard,119
Grayson Murray,120
Chan Kim,121
Kevin Streelman,122
Shaun Norris,123
Ryan Fox,124
Fabrizio Zanotti,125
Brice Garnett,126
Darren Fichardt,127
Patrick Rodgers,128
Ryan Palmer,129
Chris Wood,130
Jason Kokrak,131
Sunghoon Kang,132
Keith Mitchell,133
Steve Stricker,134
Meenwhee Kim,135
Wade Ormsby,136
Pablo Larrazabal,137
Junggon Hwang,138
Brian Gay,139
Nicolas Colsaerts,140
Bud Cauley,140
Danny Lee,142
Joakim Lagergren,143
J.J Spaun,144
Russell Knox,145
Victor Dubuisson,146
Andrew Johnston,147
Erik van Rooyen,148
Stewart Cink,149
Andrew Putnam,150
Ryan Armour,151
Paul Peterson,152
Rory Sabbatini,153
Hyunwoo Ryu,154
Scott Stallings,155
Justin Harding,156
David Horsey,157
Benjamin Hebert,158
Lucas Herbert,159
Jeunghun Wang,160
Shingo Katayama,161
Kevin Tway,162
Hudson Swafford,163
Trey Mullinax,164
Julien Guerrier,165
Younghan Song,166
Harold Varner III,167
Richie Ramsay,168
Scott Brown,169
William McGirt,170
Sam Burns,171
Graeme McDowell,172
Tom Hoge,173
Scott Jamieson,174
Kelly Kraft,175
Marcus Kinhult,176
Graham Delaet,177
Sanghyun Park,178
Poom Saksansin,179
Jazz Janewattananond,180
Scott Piercy,181
Gaganjeet Bhullar,182
Shota Akiyoshi,183
C.T. Pan,184
K.T. Kim,185
Jason Scrivener,186
David Lipsky,187
Sanghee Lee,188
Matthew Southgate,189
Panuphol Pittayarat,190
Nacho Elvira,191
Callum Shinkwin,192
Gavin Green,193
Sam Saunders,194
Soren Kjeldsen,195
Renato Paratore,196
Yuki Inamori,197
Michael Hendry,198
Abraham Ancer,199
Oscar Lengden,200
Chris Stroud,201
Joachim B Hansen,202
Scott Hend,203
Lee Slattery,204
Oliver Bekker,205
Jose de Jesus Rodriguez,206
Richard Sterne,207
John Huh,208
Ajeetesh Sandhu,209
Haydn Porteous,210
Scott Vincent,211
Aaron Rai,212
Matthieu Pavon,213
John Catlin,214
Charlie Saxon,215
Graeme Storm,216
Dimi Papadatos,217
Peter Karmis,218
Harris English,219
Brad Kennedy,220
Talor Gooch,221
Prayad Marksaeng,222
Adam Bland,223
Phachara Khongwatmai,224
Ryo Ishikawa,225
Joaquin Niemann,226
Richy Werenski,227
David Lingmerth,228
Thomas Detry,229
Vaughn Taylor,230
Jacques Kruyswijk,231
JC Ritchie,232
Robert Rock,233
Stephan Jaeger,234
Jaco Ahlers,235
Shiv Kapur,236
Brandon Harkins,237
Sam Horsfield,238
Benjamin Silverman,239
Tapio Pulkkanen,240
Nick Taylor,241
Luke Donald,241
Robert Garrigus,243
Aaron Baddeley,244
Jonas Blixt,245
Oliver Fisher,246
Paul Waring,247
Andrew Dodt,248
Mackenzie Hughes,248
Brendan Jones,250
Ben Martin,250
Sihwan Kim,252
Stephen Gallacher,253
Padraig Harrington,254
Martin Piller,255
Lorenzo Gagli,256
Alvaro Quiros,257
Morgan Hoffmann,258
Alex Cejka,259
Jinho Choi,260
Toru Taniguchi,261
Roberto Castro,262
Brian Stuard,263
Marc Warren,264
Daisuke Kataoka,265
Scott Langley,266
Dongseop Maeng,267
Clement Sordet,268
Sam Ryder,269
Robert Streb,270
Kyounghoon Lee,271
Chase Wright,272
Andres Romero,273
Yoshinori Fujimoto,274
Kyungnam Kang,275
David Drysdale,276
Juan Sebastian Munoz,277
Kramer Hickok,278
Jim Furyk,279
Malcolm Kokocinski,280
Julian Etulain,281
Austin Connelly,282
Mikko Ilonen,283
Atomu Shigenaga,284
Alex Haindl,285
Retief Goosen,286
Yikeun Chang,287
Hyungjoon Lee,288
Romain Wattel,289
Ryan Blaum,290
Miguel Tabuena,291
Daniel van Tonder,292
Tyrone van Aswegen,293
Dominic Bozzelli,294
Hyungsung Kim,295
Nicholas Lindheim,296
Koumei Oda,297
Matthias Schwab,298
Tatsuya Kodai,299
Derek Fathauer,300
