Round 1
Tee No. 1
"6:56 AM,Ryan Evans,Chun An Yu,WC Liang"
"7:07 AM,Russell Henley,Aaron Wise,Peter Uihlein"
"7:18 AM,Tony Finau,Luke List,Gary Woodland"
"7:29 AM,Sergio Garcia,Jon Rahm,Rafael Cabrera Bello"
"7:40 AM,Tommy Fleetwood,Francesco Molinari,Alexander Noren"
"7:51 AM,Cameron Smith,Kyle Stanley,Pat Perez"
"8:02 AM,Justin Thomas,Dustin Johnson,Tiger Woods"
"8:13 AM,Li Haotong,Si Woo Kim,Kiradech Aphibarnrat"
"8:24 AM,Jason Dufner,Braden Thornberry,Brandt Snedeker"
"8:35 AM,Rikuya Hoshino,Ryan Lumsden,James Morrison"
"8:46 AM,Cameron Wilson,Will Grimmer,Philip Barbaree"
"8:57 AM,Rhett Rasmussen,Michael Hebert,Michael Block"
"12:30 PM,Harold Varner III,Scott Piercy,Matthieu Pavon"
"12:41 PM,Michael Putnam,Scott Gregory,Will Zalatoris"
"12:52 PM,Brendan Steele,Chesson Hadley,Harry Ellis"
"1:03 PM,Jhonattan Vegas,Dylan Frittelli,Doug Ghim"
"1:14 PM,Louis Oosthuizen,Jimmy Walker,Justin Rose"
"1:25 PM,Bubba Watson,Jason Day,Brooks Koepka"
"1:36 PM,Tyrrell Hatton,Danny Willett,Ian Poulter"
"1:47 PM,Kevin Chappell,Andrew Johnston,Daniel Berger"
"1:58 PM,Bryson DeChambeau,Matthew Fitzpatrick,Matt Kuchar"
"2:09 PM,Thorbjorn Olesen,Shubhankar Sharma,Patrick Rodgers"
"2:20 PM,Lanto Griffin,Tom Lewis,Jacob Bergeron"
"2:31 PM,Kristoffer Reitan,Luis Gagne,Cole Miller"
"2:42 PM,Mickey DeMorat,Ty Strafaci,Calum Hill"
Round 3
Tee No. 1
"9:07 AM,Tim Wilkinson"
"9:18 AM,Bill Haas,Jhonattan Vegas"
"9:29 AM,Matthieu Pavon,Cameron Wilson"
"9:40 AM,Brandt Snedeker,Kiradech Aphibarnrat"
"9:51 AM,Steve Stricker,Gary Woodland"
"10:02 AM,Dean Burmester,Luis Gagne"
"10:13 AM,Daniel Berger,Kevin Chappell"
"10:24 AM,Matt Parziale,Byeong Hun An"
"10:35 AM,Li Haotong,Ross Fisher"
"10:46 AM,Francesco Molinari,Webb Simpson"
"10:57 AM,Tony Finau,Peter Uihlein"
"11:08 AM,Brian Gay,Sam Burns"
